Timestamp [us]	AccX [m/s²]	AccY [m/s²]	AccZ [m/s²]	OmgX [rad/s]	OmgY [rad/s]	OmgZ [rad/s]	NRpyX [rad]	NRpyY [rad]	NRpyZ [rad]
4692711	 +0.017527	 +0.018464	 +0.024217	 +0.000898	 +0.000873	 +0.000808	 +3.053566	 +0.068422	 +0.191532
4697475	 +0.017527	 +0.018461	 +0.024203	 +0.000899	 +0.000874	 +0.000808	 +3.052789	 +0.068394	 +0.191508
4702475	 +0.017529	 +0.018454	 +0.024239	 +0.000899	 +0.000874	 +0.000808	 +3.051999	 +0.068365	 +0.191484
4707475	 +0.017588	 +0.018449	 +0.024248	 +0.000899	 +0.000874	 +0.000808	 +3.051197	 +0.068337	 +0.191458
4712475	 +0.017587	 +0.018428	 +0.024252	 +0.000898	 +0.000874	 +0.000808	 +3.050383	 +0.068307	 +0.191433
4717475	 +0.017664	 +0.018435	 +0.024251	 +0.000898	 +0.000875	 +0.000807	 +3.049556	 +0.068278	 +0.191406
4722475	 +0.017656	 +0.018435	 +0.024256	 +0.000900	 +0.000875	 +0.000807	 +3.048716	 +0.068247	 +0.191379
4727476	 +0.017657	 +0.018451	 +0.024223	 +0.000900	 +0.000876	 +0.000807	 +3.047864	 +0.068217	 +0.191351
4732475	 +0.017608	 +0.018457	 +0.024200	 +0.000902	 +0.000877	 +0.000808	 +3.046999	 +0.068186	 +0.191323
4737475	 +0.017608	 +0.018470	 +0.024207	 +0.000902	 +0.000876	 +0.000808	 +3.046122	 +0.068154	 +0.191294
4742476	 +0.017607	 +0.018477	 +0.024204	 +0.000902	 +0.000877	 +0.000809	 +3.045233	 +0.068122	 +0.191264
4747475	 +0.017608	 +0.018479	 +0.024207	 +0.000902	 +0.000879	 +0.000810	 +3.044331	 +0.068089	 +0.191233
4752475	 +0.017604	 +0.018448	 +0.024190	 +0.000902	 +0.000879	 +0.000809	 +3.043416	 +0.068057	 +0.191202
4757475	 +0.017607	 +0.018451	 +0.024177	 +0.000902	 +0.000879	 +0.000809	 +3.042489	 +0.068023	 +0.191170
4762475	 +0.017623	 +0.018450	 +0.024176	 +0.000902	 +0.000880	 +0.000809	 +3.041549	 +0.067989	 +0.191138
4767475	 +0.017664	 +0.018435	 +0.024171	 +0.000901	 +0.000880	 +0.000808	 +3.040597	 +0.067955	 +0.191105
4772475	 +0.017617	 +0.018451	 +0.024178	 +0.000903	 +0.000879	 +0.000808	 +3.039632	 +0.067920	 +0.191071
4777475	 +0.017618	 +0.018442	 +0.024179	 +0.000902	 +0.000878	 +0.000808	 +3.038655	 +0.067885	 +0.191037
4782476	 +0.017618	 +0.018468	 +0.024195	 +0.000903	 +0.000878	 +0.000807	 +3.037665	 +0.067849	 +0.191001
4787475	 +0.017631	 +0.018515	 +0.024184	 +0.000904	 +0.000878	 +0.000807	 +3.036662	 +0.067813	 +0.190966
4792475	 +0.017631	 +0.018536	 +0.024184	 +0.000904	 +0.000878	 +0.000807	 +3.035647	 +0.067776	 +0.190929
4797476	 +0.017665	 +0.018542	 +0.024183	 +0.000902	 +0.000878	 +0.000808	 +3.034619	 +0.067739	 +0.190892
4802475	 +0.017664	 +0.018538	 +0.024179	 +0.000899	 +0.000880	 +0.000808	 +3.033578	 +0.067701	 +0.190854
4802475	 +0.017664	 +0.018538	 +0.024179	 +0.000899	 +0.000880	 +0.000808	 +3.033578	 +0.067701	 +0.190854
4807475	 +0.017675	 +0.018528	 +0.024151	 +0.000899	 +0.000881	 +0.000808	 +3.032525	 +0.067663	 +0.190815
4812475	 +0.017706	 +0.018541	 +0.024145	 +0.000899	 +0.000880	 +0.000808	 +3.031459	 +0.067625	 +0.190776
4817475	 +0.017732	 +0.018528	 +0.024135	 +0.000899	 +0.000882	 +0.000808	 +3.030380	 +0.067586	 +0.190736
4822475	 +0.017732	 +0.018538	 +0.024144	 +0.000900	 +0.000882	 +0.000808	 +3.029289	 +0.067546	 +0.190696
4827475	 +0.017734	 +0.018539	 +0.024152	 +0.000899	 +0.000884	 +0.000807	 +3.028185	 +0.067506	 +0.190655
4832476	 +0.017714	 +0.018537	 +0.024147	 +0.000901	 +0.000886	 +0.000808	 +3.027069	 +0.067466	 +0.190613
4837475	 +0.017719	 +0.018541	 +0.024149	 +0.000900	 +0.000886	 +0.000808	 +3.025939	 +0.067425	 +0.190570
4842475	 +0.017719	 +0.018541	 +0.024145	 +0.000900	 +0.000886	 +0.000807	 +3.024797	 +0.067384	 +0.190527
4847475	 +0.017684	 +0.018605	 +0.024145	 +0.000901	 +0.000886	 +0.000807	 +3.023642	 +0.067342	 +0.190483
4852476	 +0.017713	 +0.018605	 +0.024148	 +0.000901	 +0.000887	 +0.000807	 +3.022474	 +0.067299	 +0.190439
4857475	 +0.017679	 +0.018613	 +0.024176	 +0.000902	 +0.000886	 +0.000808	 +3.021294	 +0.067257	 +0.190393
4862476	 +0.017678	 +0.018623	 +0.024163	 +0.000904	 +0.000887	 +0.000808	 +3.020100	 +0.067213	 +0.190347
4867475	 +0.017676	 +0.018631	 +0.024188	 +0.000904	 +0.000886	 +0.000808	 +3.018894	 +0.067170	 +0.190301
