Message ID	Frame counter	Reserved	Message length	GNSS Week Number	GNSS TOW	Timestamp [us]	Bias AccX [m/s²]	Bias AccY [m/s²	]Bias AccZ [m/s²]	Bias OmgX [°/s]	Bias OmgY [°/s]	Bias OmgZ [°/s]	Cov. Longitude [(deg)²]	Cov. Latitude [(deg)²]	Cov. Altitude [(m)²]	Cov. V_North [(m/s)²]	Cov. V_East [(m/s)²]	Cov. V_Down [(m/s)²]	Cov. Roll [(deg²)]	Cov. Pitch [(deg²)]	Cov. Yaw [(deg²)]	Cov. Bias AccX [(m/s²)²]	Cov. Bias AccY [(m/s²)²]	Cov. Bias AccZ [(m/s²)²]	Cov. Bias OmgX [(deg/s)²]	Cov. Bias OmgY [(deg/s)²]	Cov. Bias OmgZ [(deg/s)²]	Reserved
4	 57	 0	 104	 0	 1594000	 4008475	 +0.3674	 -2.0570	 -0.3761	 -0.7555	 +0.9446	 +3.7170	 5.806681e-14	 5.549798e-14	 1.957142e+00	 2.373364e-02	 2.356500e-02	 7.485889e-03	 5.136314e-06	 3.892154e-06	 1.216194e-05	 4.264121e-06	 2.754037e-06	 1.030931e-06	 9.159318e-10	 9.223932e-10	 1.032494e-09	 0
4	 58	 0	 104	 0	 1595000	 5008474	 +0.3655	 -2.0567	 -0.3755	 -0.7537	 +0.9482	 +3.7186	 5.756012e-14	 5.547757e-14	 1.961311e+00	 2.382358e-02	 2.371799e-02	 7.454403e-03	 5.036517e-06	 3.926707e-06	 1.236779e-05	 4.261527e-06	 2.746927e-06	 1.030694e-06	 9.145425e-10	 9.216378e-10	 1.033238e-09	 0
4	 59	 0	 104	 0	 1596000	 6008475	 +0.3635	 -2.0560	 -0.3747	 -0.7519	 +0.9518	 +3.7203	 5.714726e-14	 5.546248e-14	 1.965178e+00	 2.393418e-02	 2.387624e-02	 7.425661e-03	 4.927878e-06	 3.961860e-06	 1.256071e-05	 4.258940e-06	 2.739944e-06	 1.030412e-06	 9.131505e-10	 9.208209e-10	 1.033919e-09	 0
4	 60	 0	 104	 0	 1597000	 7008474	 +0.3616	 -2.0549	 -0.3737	 -0.7501	 +0.9554	 +3.7222	 5.681505e-14	 5.545227e-14	 1.968781e+00	 2.404371e-02	 2.403076e-02	 7.398294e-03	 4.813108e-06	 3.997513e-06	 1.274008e-05	 4.256368e-06	 2.733002e-06	 1.030073e-06	 9.117525e-10	 9.199617e-10	 1.034541e-09	 0
4	 61	 0	 104	 0	 1598000	 8008474	 +0.3597	 -2.0534	 -0.3726	 -0.7482	 +0.9590	 +3.7243	 5.655190e-14	 5.544629e-14	 1.972160e+00	 2.414060e-02	 2.418143e-02	 7.371425e-03	 4.694833e-06	 4.033563e-06	 1.290577e-05	 4.253816e-06	 2.726033e-06	 1.029669e-06	 9.103469e-10	 9.190799e-10	 1.035111e-09	 0
4	 62	 0	 104	 0	 1599000	 9008474	 +0.3578	 -2.0516	 -0.3713	 -0.7463	 +0.9625	 +3.7264	 5.634738e-14	 5.544388e-14	 1.975351e+00	 2.422198e-02	 2.433333e-02	 7.346028e-03	 4.575511e-06	 4.069795e-06	 1.305808e-05	 4.251292e-06	 2.718978e-06	 1.029194e-06	 9.089320e-10	 9.181939e-10	 1.035632e-09	 0
4	 63	 0	 104	 0	 1600000	 8474	 +0.3559	 -2.0494	 -0.3699	 -0.7443	 +0.9660	 +3.7286	 5.619224e-14	 5.544451e-14	 1.978396e+00	 2.427598e-02	 2.447929e-02	 7.321766e-03	 4.457398e-06	 4.105902e-06	 1.319770e-05	 4.248796e-06	 2.711787e-06	 1.028645e-06	 9.075075e-10	 9.173202e-10	 1.036112e-09	 0
4	 64	 0	 104	 0	 1601000	 1008474	 +0.3541	 -2.0469	 -0.3684	 -0.7423	 +0.9693	 +3.7308	 5.607797e-14	 5.544762e-14	 1.981322e+00	 2.429486e-02	 2.462133e-02	 7.292883e-03	 4.342753e-06	 4.141609e-06	 1.332601e-05	 4.246333e-06	 2.704423e-06	 1.028020e-06	 9.060752e-10	 9.164741e-10	 1.036557e-09	 0
4	 65	 0	 104	 0	 1602000	 2008475	 +0.3522	 -2.0442	 -0.3668	 -0.7403	 +0.9726	 +3.7330	 5.599700e-14	 5.545277e-14	 1.984149e+00	 2.428635e-02	 2.475526e-02	 7.268383e-03	 4.233395e-06	 4.176276e-06	 1.344451e-05	 4.243904e-06	 2.696854e-06	 1.027318e-06	 9.046368e-10	 9.156673e-10	 1.036975e-09	 0
4	 66	 0	 104	 0	 1603000	 3008474	 +0.3503	 -2.0412	 -0.3650	 -0.7382	 +0.9758	 +3.7352	 5.594280e-14	 5.545941e-14	 1.986919e+00	 2.424869e-02	 2.487921e-02	 7.248446e-03	 4.130928e-06	 4.209434e-06	 1.355420e-05	 4.241512e-06	 2.689055e-06	 1.026542e-06	 9.031950e-10	 9.149075e-10	 1.037371e-09	 0
